Bird Species,ID
 Aberts Towhee,0
 Acorn Woodpecker,1
 Allens Hummingbird (Adult Male),2
 Allens Hummingbird (Female immature),3
 American Avocet,4
 American Black Duck,5
 American Coot,6
 American Crow,7
 American Dipper,8
 American Goldfinch (Breeding Male),9
 American Goldfinch (Female/Nonbreeding Male),10
 American Kestrel (Adult male),11
 American Kestrel (Female immature),12
 American Oystercatcher,13
 American Pipit,14
 American Redstart (Adult Male),15
 American Redstart (Female/juvenile),16
 American Robin (Adult),17
 American Robin (Juvenile),18
 American Tree Sparrow,19
 American White Pelican,20
 American Wigeon (Breeding male),21
 American Wigeon (Female/Eclipse male),22
 American Woodcock,23
 Anhinga,24
 Annas Hummingbird (Adult Male),25
 Annas Hummingbird (Female immature),26
 Ash-throated Flycatcher,27
 Bald Eagle (Adult subadult),28
 Bald Eagle (Immature juvenile),29
 Baltimore Oriole (Adult male),30
 Baltimore Oriole (Female/Immature male),31
 Band-tailed Pigeon,32
 Bank Swallow,33
 Barn Owl,34
 Barn Swallow,35
 Barred Owl,36
 Barrows Goldeneye (Breeding male),37
 Barrows Goldeneye (Female/Eclipse male),38
 Bay-breasted Warbler (Breeding male),39
 Bay-breasted Warbler (Female Nonbreeding male Immature),40
 Bells Vireo,41
 Belted Kingfisher,42
 Bewicks Wren,43
 Black Guillemot (Breeding),44
 Black Guillemot (Nonbreeding juvenile),45
 Black Oystercatcher,46
 Black Phoebe,47
 Black Rosy-Finch,48
 Black Scoter (Female/juvenile),49
 Black Scoter (Male),50
 Black Skimmer,51
 Black Tern,52
 Black Turnstone,53
 Black Vulture,54
 Black-and-white Warbler,55
 Black-bellied Plover (Breeding),56
 Black-bellied Plover (Nonbreeding/juvenile),57
 Black-bellied Whistling-Duck,58
 Black-billed Cuckoo,59
 Black-billed Magpie,60
 Black-capped Chickadee,61
 Black-chinned Hummingbird (Adult Male),62
 Black-chinned Hummingbird (Female immature),63
 Black-crested Titmouse,64
 Black-crowned Night-Heron (Adult),65
 Black-crowned Night-Heron (Immature),66
 Black-headed Grosbeak (Adult Male),67
